[Iter 5] Loss: 2.4585 (P:1.7316, V:0.7269) | WinRate: 40.0% | AvgMoves: 17.4 | Buffer: 28382
[Iter 10] Loss: 2.4545 (P:1.7069, V:0.7476) | WinRate: 50.0% | AvgMoves: 17.9 | Buffer: 61508
[Iter 15] Loss: 2.4313 (P:1.6765, V:0.7549) | WinRate: 40.0% | AvgMoves: 18.8 | Buffer: 96062
[Iter 20] Loss: 2.4290 (P:1.6465, V:0.7825) | WinRate: 60.0% | AvgMoves: 20.5 | Buffer: 100000
[Iter 25] Loss: 2.3657 (P:1.6052, V:0.7605) | WinRate: 50.0% | AvgMoves: 22.1 | Buffer: 100000
[Iter 30] Loss: 2.2985 (P:1.5594, V:0.7391) | WinRate: 70.0% | AvgMoves: 22.4 | Buffer: 100000
[Iter 35] Loss: 2.2659 (P:1.5397, V:0.7262) | WinRate: 55.0% | AvgMoves: 23.2 | Buffer: 100000
[Iter 40] Loss: 2.2053 (P:1.5105, V:0.6948) | WinRate: 60.0% | AvgMoves: 23.6 | Buffer: 100000
[Iter 45] Loss: 2.1490 (P:1.4723, V:0.6767) | WinRate: 75.0% | AvgMoves: 24.9 | Buffer: 100000
[Iter 50] Loss: 2.1116 (P:1.4513, V:0.6602) | WinRate: 80.0% | AvgMoves: 24.1 | Buffer: 100000
[Iter 55] Loss: 2.0605 (P:1.4182, V:0.6423) | WinRate: 85.0% | AvgMoves: 24.7 | Buffer: 100000
[Iter 60] Loss: 2.0763 (P:1.4312, V:0.6451) | WinRate: 65.0% | AvgMoves: 25.2 | Buffer: 100000
[Iter 65] Loss: 2.0277 (P:1.3991, V:0.6286) | WinRate: 65.0% | AvgMoves: 25.2 | Buffer: 100000
[Iter 70] Loss: 2.0115 (P:1.3877, V:0.6237) | WinRate: 90.0% | AvgMoves: 25.3 | Buffer: 100000
