iteration,win_type,winner,count,avg_moves,avg_diff
150,capture,Black,33,29.00,0.00
150,capture,White,9,18.89,0.00
150,territory,Black,46,31.65,3.74
150,territory,White,0,0.00,0.00
150,suicide,Black,9,0.00,0.00
150,suicide,White,0,0.00,0.00
150,draw,Draw,0,0.00,0.00
150,other,Other,0,0.00,0.00
155,capture,Black,53,24.47,0.00
155,capture,White,17,32.47,0.00
155,territory,Black,25,33.56,3.68
155,territory,White,5,29.20,2.40
155,suicide,Black,0,0.00,0.00
155,suicide,White,0,0.00,0.00
155,draw,Draw,0,0.00,0.00
155,other,Other,0,0.00,0.00
160,capture,Black,77,29.78,0.00
160,capture,White,0,0.00,0.00
160,territory,Black,19,32.16,2.63
160,territory,White,3,33.00,7.00
160,suicide,Black,0,0.00,0.00
160,suicide,White,0,0.00,0.00
160,draw,Draw,0,0.00,0.00
160,other,Other,0,0.00,0.00
165,capture,Black,47,22.53,0.00
165,capture,White,19,24.00,0.00
165,territory,Black,7,30.00,3.00
165,territory,White,22,29.73,1.64
165,suicide,Black,0,0.00,0.00
165,suicide,White,0,0.00,0.00
165,draw,Draw,0,0.00,0.00
165,other,Other,0,0.00,0.00
170,capture,Black,43,29.84,0.00
170,capture,White,7,26.29,0.00
170,territory,Black,21,27.90,2.86
170,territory,White,1,37.00,2.00
170,suicide,Black,0,0.00,0.00
170,suicide,White,0,0.00,0.00
170,draw,Draw,0,0.00,0.00
170,other,Other,0,0.00,0.00
