[Iter 5] Loss: 3.8374 (P:3.2209, V:0.6164) | WinRate: 90.0% | AvgMoves: 17.7 | Buffer: 59568
[Iter 10] Loss: 3.6807 (P:3.0676, V:0.6130) | WinRate: 80.0% | AvgMoves: 15.8 | Buffer: 118208
[Iter 15] Loss: 3.5984 (P:2.9956, V:0.6029) | WinRate: 100.0% | AvgMoves: 15.5 | Buffer: 174112
[Iter 20] Loss: 3.5567 (P:2.9503, V:0.6064) | WinRate: 90.0% | AvgMoves: 15.2 | Buffer: 230192
[Iter 25] Loss: 3.5281 (P:2.9195, V:0.6087) | WinRate: 0.0% | AvgMoves: 14.8 | Buffer: 283344
[Iter 30] Loss: 3.5003 (P:2.8819, V:0.6184) | WinRate: 0.0% | AvgMoves: 16.1 | Buffer: 339152
[Iter 35] Loss: 3.4773 (P:2.8591, V:0.6182) | WinRate: 0.0% | AvgMoves: 16.0 | Buffer: 393336
[Iter 40] Loss: 3.3965 (P:2.7796, V:0.6170) | WinRate: 0.0% | AvgMoves: 15.9 | Buffer: 400000
[Iter 45] Loss: 3.3231 (P:2.7087, V:0.6144) | WinRate: 0.0% | AvgMoves: 16.7 | Buffer: 400000
[Iter 50] Loss: 3.2790 (P:2.6619, V:0.6171) | WinRate: 0.0% | AvgMoves: 17.6 | Buffer: 400000
[Iter 55] Loss: 3.2329 (P:2.6193, V:0.6136) | WinRate: 0.0% | AvgMoves: 16.4 | Buffer: 400000
[Iter 60] Loss: 3.1876 (P:2.5726, V:0.6149) | WinRate: 0.0% | AvgMoves: 18.0 | Buffer: 400000
[Iter 65] Loss: 3.1334 (P:2.5283, V:0.6051) | WinRate: 0.0% | AvgMoves: 17.9 | Buffer: 400000
[Iter 70] Loss: 3.0713 (P:2.4798, V:0.5914) | WinRate: 0.0% | AvgMoves: 17.6 | Buffer: 400000
[Iter 75] Loss: 3.0264 (P:2.4423, V:0.5841) | WinRate: 0.0% | AvgMoves: 18.7 | Buffer: 400000
[Iter 80] Loss: 2.9626 (P:2.4026, V:0.5600) | WinRate: 0.0% | AvgMoves: 18.8 | Buffer: 400000
[Iter 85] Loss: 2.9212 (P:2.3737, V:0.5475) | WinRate: 0.0% | AvgMoves: 18.3 | Buffer: 400000
[Iter 90] Loss: 2.8721 (P:2.3457, V:0.5264) | WinRate: 0.0% | AvgMoves: 18.6 | Buffer: 400000
[Iter 95] Loss: 2.8216 (P:2.3101, V:0.5115) | WinRate: 0.0% | AvgMoves: 17.5 | Buffer: 400000
[Iter 100] Loss: 2.8016 (P:2.3008, V:0.5008) | WinRate: 0.0% | AvgMoves: 16.5 | Buffer: 400000
[Iter 105] Loss: 2.7633 (P:2.2753, V:0.4880) | WinRate: 0.0% | AvgMoves: 17.6 | Buffer: 400000
[Iter 110] Loss: 2.7551 (P:2.2709, V:0.4842) | WinRate: 0.0% | AvgMoves: 16.7 | Buffer: 400000
[Iter 115] Loss: 2.7346 (P:2.2475, V:0.4871) | WinRate: 0.0% | AvgMoves: 16.9 | Buffer: 400000
[Iter 120] Loss: 2.7336 (P:2.2432, V:0.4903) | WinRate: 0.0% | AvgMoves: 17.8 | Buffer: 400000
[Iter 125] Loss: 2.7289 (P:2.2399, V:0.4890) | WinRate: 0.0% | AvgMoves: 18.0 | Buffer: 400000
[Iter 130] Loss: 2.7192 (P:2.2279, V:0.4914) | WinRate: 0.0% | AvgMoves: 16.6 | Buffer: 400000
[Iter 135] Loss: 2.7238 (P:2.2334, V:0.4904) | WinRate: 0.0% | AvgMoves: 16.3 | Buffer: 400000
[Iter 140] Loss: 2.7062 (P:2.2195, V:0.4867) | WinRate: 0.0% | AvgMoves: 16.9 | Buffer: 400000
[Iter 145] Loss: 2.6887 (P:2.2061, V:0.4826) | WinRate: 0.0% | AvgMoves: 16.5 | Buffer: 400000
[Iter 150] Loss: 2.6825 (P:2.1991, V:0.4834) | WinRate: 0.0% | AvgMoves: 17.0 | Buffer: 400000
[Iter 155] Loss: 2.6844 (P:2.2013, V:0.4831) | WinRate: 0.0% | AvgMoves: 16.8 | Buffer: 400000
[Iter 160] Loss: 2.6638 (P:2.1911, V:0.4727) | WinRate: 0.0% | AvgMoves: 16.2 | Buffer: 400000
[Iter 165] Loss: 2.6565 (P:2.1968, V:0.4597) | WinRate: 0.0% | AvgMoves: 16.1 | Buffer: 400000
[Iter 170] Loss: 2.6448 (P:2.1915, V:0.4533) | WinRate: 0.0% | AvgMoves: 17.7 | Buffer: 400000
